username, created_at, lng, lat, text
TrailerPark78, Fri Jan 29 20:44:10 +0000 2021, -122.455344, 47.242960, @Skittles Hear me out..."Taste the Rainbow." https://t.co/gtLcDqwMzS 
realwormnotdr, Fri Jan 29 20:44:10 +0000 2021, -122.435979, 37.770657, yeah :/ https://t.co/6xZkAi2Dgq 
TMC_JayMac, Fri Jan 29 20:44:11 +0000 2021, -97.754724, 30.323346, Y’all hoeing crypto now yeah y’all fried @RobinhoodApp WEBULL MEEEE ✌🏾💎🚀🤣 
Fury7v7, Fri Jan 29 20:44:11 +0000 2021, -95.446486, 29.838495, @jakelangi 
aidansdaddy619, Fri Jan 29 20:44:11 +0000 2021, -117.104989, 32.810012, @coastalcardcoll My mom lives on 14th and J (1 block away) and insisted on driving, three hours later we're done 😆.… https://t.co/L4ThUU9xAD 
TylerJonKai, Fri Jan 29 20:44:11 +0000 2021, -90.011008, 29.982601, To date $1.8M has been committed to the Don &amp; Lora Peters Academic Center renovation &amp; expansion. With a goal of… https://t.co/pg8ULRZJUp 
KassidiAdel, Fri Jan 29 20:44:11 +0000 2021, -111.737566, 33.405755, @hipstertomatoe Message me I would like to discuss 😂 
aaronbuley, Fri Jan 29 20:44:11 +0000 2021, -97.103139, 33.030083, Seth looking into the soul of humanity on this one... 
MusicIsEuphoria, Fri Jan 29 20:44:11 +0000 2021, -76.925358, 40.244622, @LuciferTheGay TAAAAAASTE. 
Tekkkaa97, Fri Jan 29 20:44:11 +0000 2021, -87.775296, 30.875838, Actually kinda glad to be off this weekend 
MJCatanzaro5, Fri Jan 29 20:44:11 +0000 2021, -79.943838, 39.629314, Dudes trying to fill the word count 
mytweets_grown, Fri Jan 29 20:44:11 +0000 2021, -75.117998, 40.004866, Soo sad traveling really not the same 😢 
pittman_nairobi, Fri Jan 29 20:44:11 +0000 2021, -115.223125, 36.232915, @chitownes_cutie https://t.co/C2nF2m28DA 
Matt_FelizHall, Fri Jan 29 20:44:12 +0000 2021, -118.480420, 34.022688, @qnggie @tanyainrl Kalo bangun jam 3 😄😄 udah operasi belum coba cek lilinnya 
LifeofMone, Fri Jan 29 20:44:12 +0000 2021, -98.319925, 38.498196, “I love my OG but he ain’t show me how to treat shit no wonder why I let that nigga try me like a weak bitch” 
Nico_Dandini, Fri Jan 29 20:44:12 +0000 2021, -71.011893, 42.592715, Not-So-Common Facts of Fitness- You don’t need to be sore after every workout. - Lifting heavy doesn’t make you… https://t.co/8AMhFeCaEN 
